653,20.03.2026,1,0,0.00
653,20.03.2026,2,0,0.00
653,20.03.2026,3,1,1556851.40
653,20.03.2026,4,3,16529.30
653,20.03.2026,5,41,1193.20
653,20.03.2026,6,93,513.00
653,20.03.2026,7,78,426.60
653,20.03.2026,8,1226,86.90
653,20.03.2026,9,1634,77.50
653,20.03.2026,10,3497,69.80
653,20.03.2026,11,6247,46.70
653,20.03.2026,12,22520,39.80
654,24.03.2026,1,0,0.00
654,24.03.2026,2,0,0.00
654,24.03.2026,3,0,0.00
654,24.03.2026,4,3,251244.30
654,24.03.2026,5,31,1274.00
654,24.03.2026,6,66,579.60
654,24.03.2026,7,58,506.70
654,24.03.2026,8,1070,92.20
654,24.03.2026,9,1527,81.50
654,24.03.2026,10,2910,79.30
654,24.03.2026,11,6168,45.10
654,24.03.2026,12,21911,39.00
655,27.03.2026,1,0,0.00
655,27.03.2026,2,1,2373576.90
655,27.03.2026,3,1,354652.30
655,27.03.2026,4,3,27421.60
655,27.03.2026,5,41,1482.10
655,27.03.2026,6,53,878.20
655,27.03.2026,7,64,486.50
655,27.03.2026,8,967,134.60
655,27.03.2026,9,1397,97.80
655,27.03.2026,10,3264,78.20
655,27.03.2026,11,5262,63.70
655,27.03.2026,12,21099,45.70
656,31.03.2026,1,0,0.00
656,31.03.2026,2,1,3439843.10
656,31.03.2026,3,0,0.00
656,31.03.2026,4,2,18694.90
656,31.03.2026,5,34,1231.50
656,31.03.2026,6,89,601.40
656,31.03.2026,7,87,464.80
656,31.03.2026,8,1158,102.40
656,31.03.2026,9,1872,72.00
656,31.03.2026,10,3599,68.10
656,31.03.2026,11,5672,54.40
656,31.03.2026,12,23997,38.20
657,03.04.2026,1,0,0.00
657,03.04.2026,2,0,0.00
657,03.04.2026,3,1,1298832.10
657,03.04.2026,4,0,0.00
657,03.04.2026,5,36,1453.70
657,03.04.2026,6,48,953.40
657,03.04.2026,7,71,412.40
657,03.04.2026,8,858,145.80
657,03.04.2026,9,1271,93.90
657,03.04.2026,10,3405,67.80
657,03.04.2026,11,4269,67.80
657,03.04.2026,12,18453,46.80
658,07.04.2026,1,0,0.00
658,07.04.2026,2,0,0.00
658,07.04.2026,3,0,0.00
658,07.04.2026,4,0,0.00
658,07.04.2026,5,28,18125.40
658,07.04.2026,6,100,412.40
658,07.04.2026,7,62,354.70
658,07.04.2026,8,1070,71.50
658,07.04.2026,9,1182,68.90
658,07.04.2026,10,2682,59.90
658,07.04.2026,11,4977,37.70
658,07.04.2026,12,14888,37.70
659,10.04.2026,1,0,0.00
659,10.04.2026,2,0,0.00
659,10.04.2026,3,0,0.00
659,10.04.2026,4,1,684007.70
659,10.04.2026,5,26,1766.20
659,10.04.2026,6,44,897.40
659,10.04.2026,7,77,419.30
659,10.04.2026,8,813,137.20
659,10.04.2026,9,1142,99.30
659,10.04.2026,10,3029,67.80
659,10.04.2026,11,4060,67.80
659,10.04.2026,12,16577,48.60
660,14.04.2026,1,0,0.00
660,14.04.2026,2,0,0.00
660,14.04.2026,3,0,0.00
660,14.04.2026,4,0,0.00
660,14.04.2026,5,25,25865.20
660,14.04.2026,6,52,699.70
660,14.04.2026,7,51,634.20
660,14.04.2026,8,785,108.90
660,14.04.2026,9,1117,89.30
660,14.04.2026,10,2257,82.10
660,14.04.2026,11,4395,52.30
660,14.04.2026,12,16949,41.70
661,17.04.2026,1,0,0.00
661,17.04.2026,2,0,0.00
661,17.04.2026,3,0,0.00
661,17.04.2026,4,2,381647.20
661,17.04.2026,5,19,1647.30
661,17.04.2026,6,73,656.10
661,17.04.2026,7,59,609.10
661,17.04.2026,8,1118,100.10
661,17.04.2026,9,1144,98.40
661,17.04.2026,10,2467,86.10
661,17.04.2026,11,5810,46.70
661,17.04.2026,12,17456,45.80
662,21.04.2026,1,0,0.00
662,21.04.2026,2,0,0.00
662,21.04.2026,3,0,0.00
662,21.04.2026,4,1,674340.70
662,21.04.2026,5,26,1632.10
662,21.04.2026,6,49,734.70
662,21.04.2026,7,39,630.10
662,21.04.2026,8,720,122.80
662,21.04.2026,9,1050,99.10
662,21.04.2026,10,2178,89.80
662,21.04.2026,11,4375,56.40
662,21.04.2026,12,15934,45.40
663,24.04.2026,1,0,0.00
663,24.04.2026,2,0,0.00
663,24.04.2026,3,1,1199173.00
663,24.04.2026,4,1,21959.90
663,24.04.2026,5,21,1446.80
663,24.04.2026,6,62,729.80
663,24.04.2026,7,55,542.40
663,24.04.2026,8,875,116.90
663,24.04.2026,9,1182,93.10
663,24.04.2026,10,2921,77.00
663,24.04.2026,11,4659,57.00
663,24.04.2026,12,18769,44.20
664,28.04.2026,1,0,0.00
664,28.04.2026,2,0,0.00
664,28.04.2026,3,0,0.00
664,28.04.2026,4,2,363467.60
664,28.04.2026,5,12,1806.10
664,28.04.2026,6,63,722.90
664,28.04.2026,7,52,633.70
664,28.04.2026,8,845,103.20
664,28.04.2026,9,1055,103.20
664,28.04.2026,10,2293,91.70
664,28.04.2026,11,5093,45.90
664,28.04.2026,12,16685,44.60
665,01.05.2026,1,0,0.00
665,01.05.2026,2,0,0.00
665,01.05.2026,3,0,0.00
665,01.05.2026,4,0,0.00
665,01.05.2026,5,43,17027.00
665,01.05.2026,6,78,437.40
665,01.05.2026,7,80,416.10
665,01.05.2026,8,1239,72.40
665,01.05.2026,9,1643,65.20
665,01.05.2026,10,3326,63.90
665,01.05.2026,11,5962,40.50
665,01.05.2026,12,22962,34.50
666,05.05.2026,1,0,0.00
666,05.05.2026,2,0,0.00
666,05.05.2026,3,0,0.00
666,05.05.2026,4,0,0.00
666,05.05.2026,5,25,29259.70
666,05.05.2026,6,56,812.60
666,05.05.2026,7,41,628.40
666,05.05.2026,8,830,114.90
666,05.05.2026,9,1017,106.40
666,05.05.2026,10,2266,89.00
666,05.05.2026,11,5261,51.10
666,05.05.2026,12,15983,47.30
667,08.05.2026,1,0,0.00
667,08.05.2026,2,0,0.00
667,08.05.2026,3,0,0.00
667,08.05.2026,4,0,0.00
667,08.05.2026,5,38,26159.40
667,08.05.2026,6,70,832.20
667,08.05.2026,7,69,518.90
667,08.05.2026,8,1188,127.30
667,08.05.2026,9,1459,96.90
667,08.05.2026,10,3744,70.70
667,08.05.2026,11,5895,63.00
667,08.05.2026,12,22759,46.60
668,12.05.2026,1,0,0.00
